id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
136, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
138, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
139, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
140, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
141, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
142, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
143, 0.3260, 0.3260, 0.2440, 0.2235, 0.2578, 0.2892, 0.3640, 0.4502, 0.5012, 0.5246, 0.5460
144, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
145, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
146, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
147, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
148, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
149, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
150, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
151, 0.3260, 0.3260, 0.2214, 0.2013, 0.2035, 0.2274, 0.2509, 0.2665, 0.3757, 0.4463, 0.4977
152, 0.3260, 0.3260, 0.2214, 0.2034, 0.2059, 0.2311, 0.2539, 0.2583, 0.3850, 0.4549, 0.5030
153, 0.3260, 0.3260, 0.2214, 0.2284, 0.2402, 0.2600, 0.2719, 0.3852, 0.4623, 0.4990, 0.5284
154, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
155, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
156, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
157, 0.3260, 0.3260, 0.2214, 0.2246, 0.2399, 0.2557, 0.2900, 0.3693, 0.4425, 0.5021, 0.5376
158, 0.3260, 0.3260, 0.2214, 0.2220, 0.2387, 0.2609, 0.2968, 0.3794, 0.4550, 0.5118, 0.5152
159, 0.4526, 0.4526, 0.4703, 0.5042, 0.5370, 0.5247, 0.5739, 0.6237, 0.6228, 0.6342, 0.6371
160, 0.3260, 0.3260, 0.2706, 0.2779, 0.3024, 0.3752, 0.4662, 0.5171, 0.5487, 0.5404, 0.5216
161, 0.3260, 0.3260, 0.2214, 0.2344, 0.2392, 0.2493, 0.2899, 0.4063, 0.4676, 0.5101, 0.5313
162, 0.3260, 0.3260, 0.2214, 0.2069, 0.2118, 0.2402, 0.2600, 0.3073, 0.4030, 0.4614, 0.5086
163, 0.3610, 0.3610, 0.3346, 0.4296, 0.5072, 0.4527, 0.5436, 0.5578, 0.5489, 0.5344, 0.5243
164, 0.3260, 0.3260, 0.2988, 0.3156, 0.4185, 0.4555, 0.5465, 0.5550, 0.5418, 0.5309, 0.5201
165, 0.3260, 0.3260, 0.2214, 0.2065, 0.2092, 0.2367, 0.2594, 0.3131, 0.4034, 0.4646, 0.5076
166, 0.3260, 0.3260, 0.2214, 0.2134, 0.2069, 0.2416, 0.2539, 0.3287, 0.4166, 0.4729, 0.5137
167, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
168, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
169, 0.3260, 0.3260, 0.2214, 0.2077, 0.2076, 0.2344, 0.2586, 0.3127, 0.4019, 0.4648, 0.5088
170, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
171, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
172, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
173, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
174, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
175, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
176, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
177, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
178, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
179, 0.3260, 0.3260, 0.2214, 0.2071, 0.2063, 0.2323, 0.2569, 0.2814, 0.3968, 0.4625, 0.5076
180, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
181, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
182, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
183, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
184, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
185, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
186, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
187, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
188, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
189, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
190, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
191, 0.3260, 0.3260, 0.2214, 0.1960, 0.1954, 0.2146, 0.2420, 0.2633, 0.3477, 0.4248, 0.4787
192, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
193, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
194, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
195, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
196, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
197, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
198, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
199, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
200, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
201, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
202, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
203, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
204, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
205, 0.3260, 0.3260, 0.2214, 0.2194, 0.2189, 0.2518, 0.2298, 0.3521, 0.4390, 0.4979, 0.5148
206, 0.3260, 0.3260, 0.2745, 0.2806, 0.2886, 0.3999, 0.4806, 0.5241, 0.5552, 0.5754, 0.5720
207, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
208, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
209, 0.3260, 0.3260, 0.2214, 0.2278, 0.2300, 0.2626, 0.2579, 0.3949, 0.4595, 0.5055, 0.5378
210, 0.3260, 0.3260, 0.2214, 0.2195, 0.2115, 0.2442, 0.2506, 0.3528, 0.4366, 0.4861, 0.5242
211, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
212, 0.3260, 0.3260, 0.2214, 0.2082, 0.2027, 0.2325, 0.2517, 0.3067, 0.3996, 0.4657, 0.5087
