id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
104, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
105, 0.3649, 0.3649, 0.3029, 0.3280, 0.4302, 0.5584, 0.5948, 0.6350, 0.5779, 0.5430, 0.5385
106, 0.3260, 0.3260, 0.2598, 0.4109, 0.5131, 0.5845, 0.6134, 0.6187, 0.5944, 0.5833, 0.6047
107, 0.3260, 0.3260, 0.2231, 0.2659, 0.3669, 0.3479, 0.3529, 0.4629, 0.4985, 0.5259, 0.5436
108, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
109, 0.3260, 0.3260, 0.2490, 0.4059, 0.4173, 0.4148, 0.4883, 0.5420, 0.5533, 0.5776, 0.5946
110, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
111, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
113, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
115, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
117, 0.3260, 0.3260, 0.2214, 0.1960, 0.1481, 0.1420, 0.1429, 0.1236, 0.1431, 0.1590, 0.1764
118, 0.3260, 0.3260, 0.2214, 0.1966, 0.1485, 0.1425, 0.1416, 0.1211, 0.1500, 0.1746, 0.1997
119, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0865, 0.0812, 0.0672, 0.0821, 0.0900
120, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0349
121, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
122, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
