cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_12,clase_13,clase_16,clase_17,clase_18,clase_19
"31","040","31040",Yucatán,45874.74000,454.70860,Izamal,"2338","2339",Centro,"3",0,21541.2,0,0,2194.4,0,0,0,0,0,1577.43,20573.53,0,0,0,0
"31","041","31041",Yucatán,10224.13000,101.34060,Kanasín,"2339","2340",Noroeste,"2",0,5313.91,0,0,93.06,0,0,0,0,0,4826.57,0,0,0,0,0
"31","042","31042",Yucatán,19968.24000,197.97444,Kantunil,"2340","2341",Centro,"3",0,581.75,0,0,848.85,0,0,0,0,0,0,18542.72,0,0,0,0
"31","043","31043",Yucatán,13735.01000,136.21297,Kaua,"2341","2342",Oriente,"6",0,0,0,0,494.25,0,0,0,0,0,0,13237.4,0,0,0,0
"31","044","31044",Yucatán,35584.34000,352.74649,Kinchil,"2342","2343",Poniente,"1",0,6063.13,0,0,26.24,2231.63,0,0,0,0,27310.18,0,0,0,0,13.45
"31","045","31045",Yucatán,15773.70000,156.42068,Kopomá,"2343","2344",Poniente,"1",0,3746.36,0,0,596.91,0,0,0,0,0,11453.53,0,0,0,0,0
"31","046","31046",Yucatán,10040.90000,99.59496,Mama,"2344","2345",Sur,"7",0,152.46,0,0,0,0,0,0,0,0,5379.98,4515.76,0,0,0,0
"31","047","31047",Yucatán,12677.79000,125.77785,Maní,"2345","2346",Sur,"7",268.87,0,0,0,0,0,0,0,0,0,0,12417.95,0,0,0,0
"31","048","31048",Yucatán,91084.12000,903.26287,Maxcanú,"2346","2347",Poniente,"1",254.52,12375.75,0,2529.22,5918.09,3714.45,0,0,0,0,43283.92,22104.87,0,731.99,0,328.75
"31","049","31049",Yucatán,9361.73000,92.86027,Mayapán,"2347","2348",Sur,"7",0,0,0,0,366.4,0,0,0,0,0,0,8999.87,0,0,0,0
"31","050","31050",Yucatán,88344.41000,875.57653,Mérida,"2348","2349",Noroeste,"2",0,44855.26,0,0,964.1,678.22,0,0,4887.22,0,37053.49,0,0,0,0,0
"31","051","31051",Yucatán,4721.84000,46.78734,Mocochá,"2349","2350",Noroeste,"2",0,3147.48,0,0,146.97,0,0,0,0,0,1431.2,0,0,0,0,0
"31","052","31052",Yucatán,32060.06000,317.66895,Motul,"2350","2351",Litoral centro,"4",0,22370.18,0,130.06,421.87,0,0,0,0,0,8983.55,0,0,173.18,0,0
"31","053","31053",Yucatán,39733.89000,394.15350,Muna,"2351","2352",Sur,"7",2869.94,1381.96,0,0,993.78,0,0,0,0,0,11686.65,22849.99,0,0,0,0
"31","054","31054",Yucatán,7163.88000,70.99324,Muxupip,"2352","2353",Litoral centro,"4",0,3406.35,0,0,0.14,0,0,0,0,0,3761.98,0,0,0,0,0
"31","055","31055",Yucatán,25938.88000,257.26178,Opichén,"2353","2354",Poniente,"1",0,1983.06,0,0,1538.74,0,0,0,0,0,11509.43,10943.28,0,0,0,0
"31","056","31056",Yucatán,86294.85000,856.52084,Oxkutzcab,"2354","2355",Sur,"7",3537.03,701.12,0,184.24,488.23,0,0,0,0,0,0,81461.67,0,0,0,0
"31","057","31057",Yucatán,66527.46000,658.99951,Panabá,"2355","2356",Noreste,"5",0,0,0,0,54066.55,23.28,0,0,0,0,0,12414.91,0,0,0,0
"31","058","31058",Yucatán,105504.12000,1047.35993,Peto,"2356","2357",Oriente,"6",284.2,2185.05,0,0,6198.12,0,0,0,0,0,0,96847.92,0,0,0,0
"31","059","31059",Yucatán,66379.80000,657.35070,Progreso,"2357","2358",Noroeste,"2",0,5071.44,0,4150.24,2920.17,5443.93,0,7262.2,0,855.01,15607.15,0,0,28.92,0,0
