cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","039","31039",Yucatán,13676.04000,135.49163,Ixil,"2337","2338",Noroeste,"2",0,209.34,298.26,876.06,2506.47,0,17.69,76.96,207.98,0,8376.17,0,0,0,0,1109.27,7.33,0
"31","040","31040",Yucatán,45874.74000,454.70860,Izamal,"2338","2339",Centro,"3",0,111.66,0,0,10805.71,0,0,565.73,0,0,0,34403.45,0,0,0,0,0,0
"31","041","31041",Yucatán,10224.13000,101.34060,Kanasín,"2339","2340",Noroeste,"2",170.35,3713.34,0,0,159.2,0,0,905.27,0,0,627.38,4658.01,0,0,0,0,0,0
"31","042","31042",Yucatán,19968.24000,197.97444,Kantunil,"2340","2341",Centro,"3",0,459.99,0,0,931.69,0,0,218.14,0,0,0,18363.5,0,0,0,0,0,0
"31","043","31043",Yucatán,13735.01000,136.21297,Kaua,"2341","2342",Oriente,"6",0,13,0,0,0.75,0,0,75.12,0,0,0,13642.79,0,0,0,0,0,0
"31","044","31044",Yucatán,35584.34000,352.74649,Kinchil,"2342","2343",Poniente,"1",708.87,5393.04,0,0,2199.46,0,0,221.09,0,0,12891.74,14230.42,0,0,0,0,0,0
"31","045","31045",Yucatán,15773.70000,156.42068,Kopomá,"2343","2344",Poniente,"1",0.32,2903.12,42.34,0,1036.87,0,0,50.18,0,0,0,11763.98,0,0,0,0,0,0
"31","046","31046",Yucatán,10040.90000,99.59496,Mama,"2344","2345",Sur,"7",0,68,1.05,0,0,0,0,88.4,0,0,0,9890.76,0,0,0,0,0,0
"31","047","31047",Yucatán,12677.79000,125.77785,Maní,"2345","2346",Sur,"7",619.78,0,0,0,0,0,0,137.79,0,0,0,11929.24,0,0,0,0,0,0
"31","048","31048",Yucatán,91084.12000,903.26287,Maxcanú,"2346","2347",Poniente,"1",2061.35,2890.26,6.1,1131.2,15787.87,0,0,409.39,0,1044.19,4173.75,63006.91,0,0,0,34.77,0,695.78
"31","049","31049",Yucatán,9361.73000,92.86027,Mayapán,"2347","2348",Sur,"7",0,0,0,0,0,0,0,92.86,0,0,0,9273.41,0,0,0,0,0,0
"31","050","31050",Yucatán,88344.41000,875.57653,Mérida,"2348","2349",Noroeste,"2",1257.41,10118.91,30.78,0,936.83,0,182.78,17545.3,0,0,35084.39,23281.89,0,0,0,0,0,0
"31","051","31051",Yucatán,4721.84000,46.78734,Mocochá,"2349","2350",Noroeste,"2",0,1135.23,0,0,592.41,0,0,33.24,0,0,2964.78,0,0,0,0,0,0,0
"31","052","31052",Yucatán,32060.06000,317.66895,Motul,"2350","2351",Litoral centro,"4",253.3,9032.59,0,32.04,3793.5,0,0,701.9,0,0,12443.47,5542.82,0,0,0,279.23,0,0
"31","053","31053",Yucatán,39733.89000,394.15350,Muna,"2351","2352",Sur,"7",3783.33,1045.4,0,0,0,0,0,311.45,0,0,2173.12,32469.01,0,0,0,0,0,0
"31","054","31054",Yucatán,7163.88000,70.99324,Muxupip,"2352","2353",Litoral centro,"4",0,1664.15,0,0,0,0,0,77.89,0,0,5426.43,0,0,0,0,0,0,0
"31","055","31055",Yucatán,25938.88000,257.26178,Opichén,"2353","2354",Poniente,"1",637.62,1984.68,12.39,0,35.61,0,0,89.46,0,0,2314.17,20900.59,0,0,0,0,0,0
"31","056","31056",Yucatán,86294.85000,856.52084,Oxkutzcab,"2354","2355",Sur,"7",10641.26,3845.14,0,0,349.06,0,0,514.89,0,0,6329.46,64692.47,0,0,0,0,0,0
"31","057","31057",Yucatán,66527.46000,658.99951,Panabá,"2355","2356",Noreste,"5",0,0,38.8,0,66350.61,0,0,105.03,0,0,3.5,6.79,0,0,0,0,0,0
"31","058","31058",Yucatán,105504.12000,1047.35993,Peto,"2356","2357",Oriente,"6",170.46,3056.13,43.86,0,6544.89,0,0,318.86,0,0,1410.98,93970.12,0,0,0,0,0,0
"31","059","31059",Yucatán,66379.80000,657.35070,Progreso,"2357","2358",Noroeste,"2",0,608.86,2777.25,7138.95,5295.5,0,2108.63,2646.33,163.88,0,19567.05,0,0,0,0,343.24,583.46,0
