cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","026","31026",Yucatán,17410.64000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",0,3374.48,1242.46,760.46,1398.36,0,0,10.95,581.89,251.21,0,8138.17,1638.28,24.22,0,1.48,0,0,0
"31","027","31027",Yucatán,20753.28000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",97.6,5560.26,0,1002.82,7852.27,0,0,978.45,442.52,85.26,0,4210.36,529.78,0,0,0,0,0,0
"31","028","31028",Yucatán,43225.12000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",0,0,7.76,14696.78,12808.34,0,0,289.44,46.14,239.01,432.47,8632.93,2585.59,799.83,0,0,1638.68,0,0
"31","029","31029",Yucatán,50647.28000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,1333.54,39.05,144.47,38394.12,0,0,0,302.92,0,0,2945.63,7487,0,0,0,0.91,0,0
"31","030","31030",Yucatán,30955.54000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,0,0,0,500.2,0,0,0,123.75,0,0,0,30326.32,0,0,0,0,0,0
"31","031","31031",Yucatán,13340.91000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,749.19,1.32,0,10381.6,0,0,0,51.37,0,0,0,2158.81,0,0,0,0,0,0
"31","032","31032",Yucatán,73527.91000,728.68756,Espita,"2330","2331",Noreste,"5",0,3426.62,0,0,11221.3,0,0,0,290.72,0,0,0,58566.7,0,0,0,0,0,0
"31","033","31033",Yucatán,58631.09000,581.48907,Halachó,"2331","2332",Poniente,"1",1494.94,3566.66,0,4452.11,2834.57,0,0,0,1494.21,0,3998.68,8674.78,28653.13,0,0,0,3483.3,0,94.26
"31","034","31034",Yucatán,9491.03000,94.09100,Hocabá,"2332","2333",Centro,"3",100.77,1499.62,0,0,144.3,0,0,0,145.65,0,0,0,7605.91,0,0,0,0,0,0
"31","035","31035",Yucatán,12065.49000,119.60005,Hoctún,"2333","2334",Centro,"3",2.92,1620.26,0,0,145.15,0,0,251.26,231.95,0,0,0,9819.36,0,0,0,0,0,0
"31","036","31036",Yucatán,19981.44000,198.13180,Homún,"2334","2335",Centro,"3",0,858,76.64,0,122.88,0,0,0,103.56,0,0,0,18831.57,0,0,0,0,0,0
"31","037","31037",Yucatán,19757.15000,195.90283,Huhí,"2335","2336",Centro,"3",0,2271.08,10.07,0,13.25,0,0,0,173.99,0,0,0,17297.03,0,0,0,0,0,0
"31","038","31038",Yucatán,83964.62000,832.05739,Hunucmá,"2336","2337",Poniente,"1",1928.55,0,550.39,13577.4,1476.35,0,0,3815.93,1735.24,428.46,4700.87,48752.82,1618.27,2327.19,176.18,0,2751.96,0,0
"31","039","31039",Yucatán,13676.04000,135.49163,Ixil,"2337","2338",Noroeste,"2",0,324.89,298.92,1189.9,1953.87,0,0,0,374.08,28.55,0,8695.85,0,292.25,0,0,528.42,0,0
"31","040","31040",Yucatán,45874.74000,454.70860,Izamal,"2338","2339",Centro,"3",0,2970.07,0,0,16627.44,0,0,0,762.6,0,0,0,25526.45,0,0,0,0,0,0
"31","041","31041",Yucatán,10224.13000,101.34060,Kanasín,"2339","2340",Noroeste,"2",110.4,3230.12,0,0,164.55,0,0,424.96,2794.54,0,0,876.33,2632.65,0,0,0,0,0,0
"31","042","31042",Yucatán,19968.24000,197.97444,Kantunil,"2340","2341",Centro,"3",0,1911.75,0,0,1572.42,0,0,0,218.14,0,0,0,16271.02,0,0,0,0,0,0
"31","043","31043",Yucatán,13735.01000,136.21297,Kaua,"2341","2342",Oriente,"6",0,42.08,0,0,0.01,0,0,255.51,75.12,0,0,0,13358.93,0,0,0,0,0,0
"31","044","31044",Yucatán,35584.34000,352.74649,Kinchil,"2342","2343",Poniente,"1",707.02,5940.26,0,0,2305.17,0,0,3.48,221.08,0,0,23439.64,3027.97,0,0,0,0,0,0
"31","045","31045",Yucatán,15773.70000,156.42068,Kopomá,"2343","2344",Poniente,"1",0.17,4428.75,42.34,0,1035,0,0,0,332.7,0,0,0,9957.84,0,0,0,0,0,0
"31","046","31046",Yucatán,10040.90000,99.59496,Mama,"2344","2345",Sur,"7",0,36.63,1.05,0,0,0,0,0,88.4,0,0,0,9922.13,0,0,0,0,0,0
"31","047","31047",Yucatán,12677.79000,125.77785,Maní,"2345","2346",Sur,"7",1330.3,1858.33,0,0,535.83,0,0,0,205.84,0,0,0,8756.52,0,0,0,0,0,0
"31","048","31048",Yucatán,91084.12000,903.26287,Maxcanú,"2346","2347",Poniente,"1",1304.41,3298.35,6.04,955.61,15025.39,0,0,0,1903.29,0,1042.95,6268.52,60588.71,0,0,0,378.51,0,469.78
"31","049","31049",Yucatán,9361.73000,92.86027,Mayapán,"2347","2348",Sur,"7",0,673.08,0,0,0,0,0,0,92.86,0,0,0,8600.34,0,0,0,0,0,0
"31","050","31050",Yucatán,88344.41000,875.57653,Mérida,"2348","2349",Noroeste,"2",2295.1,5108.5,0,0,435.05,0,0,508.19,30726.44,0,0,29218.12,20146.9,0,0,0,0,0,0
"31","051","31051",Yucatán,4721.84000,46.78734,Mocochá,"2349","2350",Noroeste,"2",0,1467.83,0,0,929.53,0,0,0,33.24,0,0,2295.05,0,0,0,0,0,0,0
"31","052","31052",Yucatán,32060.06000,317.66895,Motul,"2350","2351",Litoral centro,"4",998.76,8101.89,0,75.83,1876.61,0,0,0,1817.11,0,0,13747.3,5229.39,181.03,0,0,50.92,0,0
"31","053","31053",Yucatán,39733.89000,394.15350,Muna,"2351","2352",Sur,"7",5676.58,1059.62,0,0,510.12,0,0,0,311.45,0,0,2306.9,29917.64,0,0,0,0,0,0
"31","054","31054",Yucatán,7163.88000,70.99324,Muxupip,"2352","2353",Litoral centro,"4",0,1583.89,0,0,0,0,0,0,79.68,0,0,5504.9,0,0,0,0,0,0,0
"31","055","31055",Yucatán,25938.88000,257.26178,Opichén,"2353","2354",Poniente,"1",1839.52,2416.15,12.39,0,35.11,0,0,344.99,433.44,0,0,2344.35,18548.58,0,0,0,0,0,0
"31","056","31056",Yucatán,86294.85000,856.52084,Oxkutzcab,"2354","2355",Sur,"7",13176.14,1306.48,0,0,87.75,0,0,0,915.32,0,0,5594.27,65292.33,0,0,0,0,0,0
"31","057","31057",Yucatán,66527.46000,658.99951,Panabá,"2355","2356",Noreste,"5",0,0,38.8,0,66351.29,0,0,0,105.02,0,0,3.27,6.36,0,0,0,0,0,0
"31","058","31058",Yucatán,105504.12000,1047.35993,Peto,"2356","2357",Oriente,"6",562.1,5407.24,42.9,0,6176.2,0,0,0,689.04,0,0,1373.98,91263.82,0,0,0,0,0,0
"31","059","31059",Yucatán,66379.80000,657.35070,Progreso,"2357","2358",Noroeste,"2",0,46.24,3702.01,6461.7,1535.93,0,0,1859.83,3284.09,219.29,0,20799.03,0,2869.23,0,0,232.04,231.02,0
