ageb_id,year,budget,budget_spl,stress,cat_vul,ex_cat_vul
"7493","2060","1000",action_budget,base,"5","5"
"7494","2060","1000",action_budget,base,"4","5"
"7495","2060","1000",action_budget,base,"5","5"
"7496","2060","1000",action_budget,base,"5","5"
"7497","2060","1000",action_budget,base,"5","5"
"7498","2060","1000",action_budget,base,"5","5"
"7499","2060","1000",action_budget,base,"5","5"
"7500","2060","1000",action_budget,base,"5","5"
"7501","2060","1000",action_budget,base,"4","5"
"7502","2060","1000",action_budget,base,"4","5"
"7503","2060","1000",action_budget,base,"5","5"
"7504","2060","1000",action_budget,base,"5","5"
"7505","2060","1000",action_budget,base,"5","5"
"7506","2060","1000",action_budget,base,"4","5"
"7507","2060","1000",action_budget,base,"5","5"
"7508","2060","1000",action_budget,base,"5","5"
"7509","2060","1000",action_budget,base,"5","5"
"7510","2060","1000",action_budget,base,"5","5"
"7511","2060","1000",action_budget,base,"4","5"
"7512","2060","1000",action_budget,base,"5","5"
"7513","2060","1000",action_budget,base,"4","5"
"7514","2060","1000",action_budget,base,"4","5"
"7515","2060","1000",action_budget,base,"5","5"
"7517","2060","1000",action_budget,base,"5","5"
"7518","2060","1000",action_budget,base,"5","5"
"7519","2060","1000",action_budget,base,"4","5"
"7520","2060","1000",action_budget,base,"5","5"
"7521","2060","1000",action_budget,base,"5","5"
"7522","2060","1000",action_budget,base,"5","5"
"7523","2060","1000",action_budget,base,"4","5"
"7524","2060","1000",action_budget,base,"4","5"
"7525","2060","1000",action_budget,base,"5","5"
"7526","2060","1000",action_budget,base,"4","5"
"7527","2060","1000",action_budget,base,"4","5"
"7528","2060","1000",action_budget,base,"4","5"
"7529","2060","1000",action_budget,base,"4","5"
"7530","2060","1000",action_budget,base,"4","5"
"7531","2060","1000",action_budget,base,"4","5"
"7532","2060","1000",action_budget,base,"4","5"
"7533","2060","1000",action_budget,base,"2","3"
"7534","2060","1000",action_budget,base,"1","3"
"7535","2060","1000",action_budget,base,"4","5"
"7536","2060","1000",action_budget,base,"1","3"
"7537","2060","1000",action_budget,base,"1","4"
"7538","2060","1000",action_budget,base,"1","4"
"7539","2060","1000",action_budget,base,"4","5"
"7540","2060","1000",action_budget,base,"4","5"
"7541","2060","1000",action_budget,base,"4","5"
"7542","2060","1000",action_budget,base,"4","5"
"7543","2060","1000",action_budget,base,"4","5"
"7544","2060","1000",action_budget,base,"4","5"
"7545","2060","1000",action_budget,base,"4","5"
"7546","2060","1000",action_budget,base,"4","5"
"7547","2060","1000",action_budget,base,"4","5"
"7548","2060","1000",action_budget,base,"4","5"
"7549","2060","1000",action_budget,base,"2","3"
"7550","2060","1000",action_budget,base,"2","4"
"7551","2060","1000",action_budget,base,"4","5"
"7552","2060","1000",action_budget,base,"4","5"
"7553","2060","1000",action_budget,base,"4","5"
"7554","2060","1000",action_budget,base,"4","5"
"7555","2060","1000",action_budget,base,"4","5"
"7556","2060","1000",action_budget,base,"4","5"
"7557","2060","1000",action_budget,base,"4","5"
"7558","2060","1000",action_budget,base,"4","5"
"7559","2060","1000",action_budget,base,"4","5"
"7560","2060","1000",action_budget,base,"4","5"
"7561","2060","1000",action_budget,base,"4","5"
"7562","2060","1000",action_budget,base,"4","5"
"7563","2060","1000",action_budget,base,"2","4"
"7564","2060","1000",action_budget,base,"2","4"
"7565","2060","1000",action_budget,base,"4","5"
"7566","2060","1000",action_budget,base,"4","5"
"7567","2060","1000",action_budget,base,"4","5"
"7568","2060","1000",action_budget,base,"4","5"
"7569","2060","1000",action_budget,base,"4","5"
"7570","2060","1000",action_budget,base,"4","5"
"7571","2060","1000",action_budget,base,"4","5"
"7572","2060","1000",action_budget,base,"4","5"
"7573","2060","1000",action_budget,base,"1","3"
"7574","2060","1000",action_budget,base,"1","3"
"7575","2060","1000",action_budget,base,"4","5"
"7576","2060","1000",action_budget,base,"4","5"
"7577","2060","1000",action_budget,base,"4","5"
"7578","2060","1000",action_budget,base,"4","5"
"7579","2060","1000",action_budget,base,"4","5"
"7580","2060","1000",action_budget,base,"4","5"
"7581","2060","1000",action_budget,base,"4","5"
"7582","2060","1000",action_budget,base,"4","5"
"7583","2060","1000",action_budget,base,"4","5"
"7584","2060","1000",action_budget,base,"4","5"
"7585","2060","1000",action_budget,base,"4","5"
"7586","2060","1000",action_budget,base,"3","5"
"7587","2060","1000",action_budget,base,"1","3"
"7588","2060","1000",action_budget,base,"1","3"
"7589","2060","1000",action_budget,base,"4","5"
"7590","2060","1000",action_budget,base,"3","5"
"7591","2060","1000",action_budget,base,"1","3"
"7592","2060","1000",action_budget,base,"1","3"
"7593","2060","1000",action_budget,base,"3","4"
"7594","2060","1000",action_budget,base,"4","5"
"7595","2060","1000",action_budget,base,"4","5"
"7596","2060","1000",action_budget,base,"4","5"
"7597","2060","1000",action_budget,base,"4","5"
"7598","2060","1000",action_budget,base,"4","5"
"7599","2060","1000",action_budget,base,"4","5"
"7600","2060","1000",action_budget,base,"4","5"
"7601","2060","1000",action_budget,base,"4","5"
"7602","2060","1000",action_budget,base,"4","5"
"7603","2060","1000",action_budget,base,"5","5"
"7604","2060","1000",action_budget,base,"4","5"
"7605","2060","1000",action_budget,base,"2","3"
"7606","2060","1000",action_budget,base,"2","3"
"7607","2060","1000",action_budget,base,"4","5"
"7608","2060","1000",action_budget,base,"5","5"
"7609","2060","1000",action_budget,base,"3","5"
"7610","2060","1000",action_budget,base,"4","5"
"7611","2060","1000",action_budget,base,"4","5"
"7612","2060","1000",action_budget,base,"4","5"
"7613","2060","1000",action_budget,base,"4","5"
"7614","2060","1000",action_budget,base,"4","5"
"7615","2060","1000",action_budget,base,"4","5"
"7616","2060","1000",action_budget,base,"3","5"
"7617","2060","1000",action_budget,base,"4","5"
"7618","2060","1000",action_budget,base,"4","5"
"7619","2060","1000",action_budget,base,"4","5"
"7620","2060","1000",action_budget,base,"4","5"
"7621","2060","1000",action_budget,base,"4","5"
"7622","2060","1000",action_budget,base,"4","5"
"7623","2060","1000",action_budget,base,"1","3"
"7624","2060","1000",action_budget,base,"1","3"
"7625","2060","1000",action_budget,base,"1","4"
"7626","2060","1000",action_budget,base,"1","3"
"7627","2060","1000",action_budget,base,"4","5"
"7628","2060","1000",action_budget,base,"2","4"
"7629","2060","1000",action_budget,base,"4","5"
"7630","2060","1000",action_budget,base,"4","5"
"7631","2060","1000",action_budget,base,"4","5"
"7632","2060","1000",action_budget,base,"4","5"
"7633","2060","1000",action_budget,base,"4","5"
"7634","2060","1000",action_budget,base,"4","5"
"7635","2060","1000",action_budget,base,"2","4"
"7636","2060","1000",action_budget,base,"4","5"
"7637","2060","1000",action_budget,base,"4","5"
"7638","2060","1000",action_budget,base,"4","5"
"7639","2060","1000",action_budget,base,"4","5"
"7640","2060","1000",action_budget,base,"4","5"
"7641","2060","1000",action_budget,base,"4","5"
"7642","2060","1000",action_budget,base,"4","5"
"7643","2060","1000",action_budget,base,"2","4"
"7644","2060","1000",action_budget,base,"4","5"
"7645","2060","1000",action_budget,base,"2","3"
"7646","2060","1000",action_budget,base,"2","4"
"7647","2060","1000",action_budget,base,"2","4"
"7648","2060","1000",action_budget,base,"4","5"
"7649","2060","1000",action_budget,base,"4","5"
"7650","2060","1000",action_budget,base,"4","5"
"7651","2060","1000",action_budget,base,"5","5"
"7652","2060","1000",action_budget,base,"5","5"
"7653","2060","1000",action_budget,base,"5","5"
"7654","2060","1000",action_budget,base,"4","5"
"7655","2060","1000",action_budget,base,"5","5"
"7656","2060","1000",action_budget,base,"4","5"
"7657","2060","1000",action_budget,base,"5","5"
"7658","2060","1000",action_budget,base,"4","5"
"7659","2060","1000",action_budget,base,"4","5"
"7660","2060","1000",action_budget,base,"4","5"
"7661","2060","1000",action_budget,base,"4","5"
"7662","2060","1000",action_budget,base,"4","5"
"7663","2060","1000",action_budget,base,"4","5"
"7664","2060","1000",action_budget,base,"3","5"
"7665","2060","1000",action_budget,base,"3","5"
"7666","2060","1000",action_budget,base,"1","3"
"7667","2060","1000",action_budget,base,"1","3"
"7668","2060","1000",action_budget,base,"3","5"
"7669","2060","1000",action_budget,base,"3","5"
"7670","2060","1000",action_budget,base,"4","5"
"7671","2060","1000",action_budget,base,"1","3"
"7672","2060","1000",action_budget,base,"1","3"
"7673","2060","1000",action_budget,base,"4","5"
"7674","2060","1000",action_budget,base,"4","5"
"7675","2060","1000",action_budget,base,"2","3"
"7676","2060","1000",action_budget,base,"2","3"
"7677","2060","1000",action_budget,base,"4","5"
"7678","2060","1000",action_budget,base,"2","4"
"7679","2060","1000",action_budget,base,"3","5"
"7680","2060","1000",action_budget,base,"4","5"
"7681","2060","1000",action_budget,base,"4","5"
"7682","2060","1000",action_budget,base,"3","5"
"7683","2060","1000",action_budget,base,"4","5"
"7684","2060","1000",action_budget,base,"4","5"
"7685","2060","1000",action_budget,base,"4","5"
"7686","2060","1000",action_budget,base,"1","3"
"7687","2060","1000",action_budget,base,"4","5"
"7688","2060","1000",action_budget,base,"2","4"
"7689","2060","1000",action_budget,base,"3","5"
"7690","2060","1000",action_budget,base,"5","5"
"7691","2060","1000",action_budget,base,"2","3"
"7692","2060","1000",action_budget,base,"2","3"
"7693","2060","1000",action_budget,base,"4","5"
"7694","2060","1000",action_budget,base,"3","5"
"7695","2060","1000",action_budget,base,"4","5"
"7696","2060","1000",action_budget,base,"1","3"
"7697","2060","1000",action_budget,base,"4","5"
"7698","2060","1000",action_budget,base,"4","5"
"7699","2060","1000",action_budget,base,"4","5"
"7700","2060","1000",action_budget,base,"4","5"
"7701","2060","1000",action_budget,base,"4","5"
"7702","2060","1000",action_budget,base,"4","5"
"7704","2060","1000",action_budget,base,"4","5"
"7705","2060","1000",action_budget,base,"4","5"
"7706","2060","1000",action_budget,base,"4","5"
"7707","2060","1000",action_budget,base,"4","5"
"7708","2060","1000",action_budget,base,"4","5"
"7709","2060","1000",action_budget,base,"4","5"
"7710","2060","1000",action_budget,base,"4","5"
"7711","2060","1000",action_budget,base,"5","5"
"7712","2060","1000",action_budget,base,"5","5"
"7713","2060","1000",action_budget,base,"4","5"
"7714","2060","1000",action_budget,base,"4","5"
"7715","2060","1000",action_budget,base,"5","5"
"7716","2060","1000",action_budget,base,"4","5"
"7717","2060","1000",action_budget,base,"4","5"
"7718","2060","1000",action_budget,base,"4","5"
"7719","2060","1000",action_budget,base,"4","5"
"7720","2060","1000",action_budget,base,"4","5"
"7721","2060","1000",action_budget,base,"4","5"
"7722","2060","1000",action_budget,base,"4","5"
"7723","2060","1000",action_budget,base,"4","5"
"7724","2060","1000",action_budget,base,"4","5"
"7725","2060","1000",action_budget,base,"4","5"
"7726","2060","1000",action_budget,base,"4","5"
"7727","2060","1000",action_budget,base,"4","5"
"7728","2060","1000",action_budget,base,"4","5"
"7729","2060","1000",action_budget,base,"4","5"
"7730","2060","1000",action_budget,base,"4","5"
"7731","2060","1000",action_budget,base,"4","5"
"7732","2060","1000",action_budget,base,"4","5"
"7733","2060","1000",action_budget,base,"5","5"
"7734","2060","1000",action_budget,base,"4","5"
"7735","2060","1000",action_budget,base,"4","5"
"7736","2060","1000",action_budget,base,"4","5"
"7737","2060","1000",action_budget,base,"4","5"
"7738","2060","1000",action_budget,base,"4","5"
"7739","2060","1000",action_budget,base,"3","5"
"7740","2060","1000",action_budget,base,"4","5"
"7741","2060","1000",action_budget,base,"4","5"
"7742","2060","1000",action_budget,base,"4","5"
"7743","2060","1000",action_budget,base,"3","5"
"7744","2060","1000",action_budget,base,"3","5"
